"Severity","ThreadID","Date","Time","Application","Message"
"ERROR","web-0","08/02/2011","05:21:47","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","05:22:17","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","05:38:21","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","05:59:49","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","06:15:47","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","06:20:47","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","06:21:17","mail spooler","Could not connect to SMTP host: mail.prodriver-online.com, port: 25;
  nested exception is:
	java.net.ConnectException: connection to mail.prodriver-online.com timed out"
"ERROR","web-0","08/02/2011","06:22:17","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","06:22:47","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","06:38:52","mail spooler","timeout occurred after 30 seconds while sending mail message"
"ERROR","web-0","08/02/2011","07:00:19","mail spooler","timeout occurred after 30 seconds while sending mail message"
